dt,epsilon,L2_error,log_inv_dt,log_error
0.006250000000000003,1e-07,1.293269713689901e-06,2.204119982655925,-5.888310892790144
0.007874506561842959,1e-07,1.090262118379352e-06,2.103776650767931,-5.962469077398372
0.009921256574801246,1e-07,1.129453018305989e-06,2.003433318879937,-5.947131829652712
0.0125,1e-07,1.178929928788256e-06,1.903089986991944,-5.928512006987143
0.01574901312368592,1e-07,8.750510731078807e-07,1.80274665510395,-6.057966598267271
0.01984251314960249,1e-07,8.899227854273664e-07,1.702403323215956,-6.050647673487184
0.02499999999999999,1e-07,1.425349869232978e-06,1.602059991327963,-5.846078519776716
0.03149802624737184,1e-07,2.648830955585565e-06,1.501716659439968,-5.576945756840162
0.03968502629920499,1e-07,4.6458887308072e-06,1.401373327551975,-5.332931195778812
0.05,1e-07,9.793731721700742e-06,1.301029995663981,-5.009051796721799
0.006250000000000003,1e-08,3.064841163949843e-07,2.204119982655925,-6.51359202796696
0.007874506561842959,1e-08,2.626075164905803e-07,2.103776650767931,-6.580692847463354
0.009921256574801246,1e-08,2.157378008527784e-07,2.003433318879937,-6.66607375260979
0.0125,1e-08,2.005302576054464e-07,1.903089986991944,-6.697820088282485
0.01574901312368592,1e-08,3.180651170201494e-07,1.80274665510395,-6.49748395841974
0.01984251314960249,1e-08,7.121759375444731e-07,1.702403323215956,-6.147412704023456
0.02499999999999999,1e-08,1.330695760634927e-06,1.602059991327963,-5.875921226704722
0.03149802624737184,1e-08,2.789638467560839e-06,1.501716659439968,-5.554452076911755
0.03968502629920499,1e-08,4.645238302441974e-06,1.401373327551975,-5.332992001631394
0.05,1e-08,1.036912388255185e-05,1.301029995663981,-4.984257936865275
0.006250000000000003,1e-09,1.10311351499748e-07,2.204119982655925,-6.957379794540409
0.007874506561842959,1e-09,8.163179765476309e-08,2.103776650767931,-7.088140639578643
0.009921256574801246,1e-09,6.063440706032233e-08,2.003433318879937,-7.21728086500894
0.0125,1e-09,2.082720760299689e-07,1.903089986991944,-6.681368953955455
0.01574901312368592,1e-09,4.231434977666201e-07,1.80274665510395,-6.373512328322625
0.01984251314960249,1e-09,8.494463266127144e-07,1.702403323215956,-6.07086405739805
0.02499999999999999,1e-09,1.490071996046102e-06,1.602059991327963,-5.826792747205074
0.03149802624737184,1e-09,2.964203828273106e-06,1.501716659439968,-5.528091936168187
0.03968502629920499,1e-09,4.835386351783434e-06,1.401373327551975,-5.315568819669059
0.05,1e-09,1.062710421885203e-05,1.301029995663981,-4.973585060321724
