nodes,ds,x_error,y_error,tip_error,log_inv_ds,log_error
11,0.1,-5.407291676085002e-06,-1.628377290824323e-05,1.715809031907381e-05,1,-4.765531050405756
22,0.04761904761904762,-6.497705002939114e-07,-2.016253738468254e-06,2.118367494307683e-06,1.322219294733919,-5.673998696303419
44,0.02325581395348837,-7.906151278103124e-08,-2.494396886820738e-07,2.616694118406564e-07,1.633468455579587,-6.582247041766785
88,0.01149425287356322,-9.676494605592723e-09,-3.081178590047529e-08,3.229552133390623e-08,1.939519252618618,-7.490857700419136
172,0.005847953216374269,-1.113283687459443e-09,-3.641296264511595e-09,3.807681585257542e-09,2.232996110392154,-8.419339376345198
