dt,epsilon,L2_error,log_inv_dt,log_error
0.006250000000000003,0.1,2.638362382710704e-07,2.204119982655925,-6.578665553746869
0.007874506561842959,0.1,5.670253715595687e-07,2.103776650767931,-6.246397508158597
0.009921256574801246,0.1,1.403655357003754e-06,2.003433318879937,-5.852739512523322
0.0125,0.1,2.903361722262372e-06,1.903089986991944,-5.537098853181017
0.01574901312368592,0.1,5.534043978821744e-06,1.80274665510395,-5.256957393860822
0.01984251314960249,0.1,9.492699604848764e-06,1.702403323215956,-5.022610262097253
0.02499999999999999,0.1,1.625240645737418e-05,1.602059991327963,-4.789082324913963
0.03149802624737184,0.1,2.484919790721446e-05,1.501716659439968,-4.604687625043031
0.03968502629920499,0.1,4.349069609597102e-05,1.401373327551975,-4.361603641122437
0.05,0.1,5.961598637748622e-05,1.301029995663981,-4.22463726602203
