series,x,delta_over_half_length,gamma,r
present,10.0000,0.012,1.0000,0.1
present,21.5517,0.027,0.4640,0.1
present,46.5116,0.060,0.2150,0.1
present,100.000,0.122,0.1000,0.1
present,215.517,0.177,0.0464,0.1
present,465.116,0.207,0.0215,0.1
present,1000.00,0.216,0.0100,0.1
slender_body,9.868666046292956,0.02698521948423059,,
slender_body,732.2972609972315,1.977992505036409,,
bead_spring,10.194180426110506,0.027399329298869648,,
bead_spring,49.38804871868271,0.1363403103674987,,
bead_spring,56.06234019969667,0.15354452308612527,,
bead_spring,62.535634786950354,0.1781525727487161,,
bead_spring,70.98668854077994,0.20569909675560338,,
bead_spring,90.277778898637,0.27515488621346446,,
bead_spring,105.66179771622532,0.3396886249924036,,
bead_spring,118.3784336516334,0.4028709012342911,,
bead_spring,136.14970498580928,0.48911530933952047,,
bead_spring,155.22594513039942,0.56285158823714,,
bead_spring,170.89363681967805,0.6222301215048613,,
bead_spring,194.8379270808603,0.6718948713156666,,
bead_spring,223.1101674655058,0.7039783498139104,,
bead_spring,282.50429631977477,0.7474091675342602,,
bead_spring,368.8234508587162,0.7699195418381339,,
bead_spring,469.0536019316852,0.7799746227214409,,
bead_spring,648.1764415303347,0.7980234630481847,,
bead_spring,824.3225691837275,0.7976887269491446,,
bead_spring,1129.2015101032139,0.8080016845911905,,
bead_spring,1417.3615196883754,0.8158362542141253,,
bead_spring,1810.434594878407,0.8182232499166501,,
bead_spring,2384.365432604626,0.8260876111767395,,
bead_spring,3058.9562989838987,0.8284982806996171,,
bead_spring,4320.512913392846,0.816982138966122,,
bead_spring,6075.738713977615,0.8386656050484633,,
bead_spring,8771.06625902228,0.8437605617065882,,
